Sample	posterior	likelihood	prior	treeLikelihood.mbd_twin_evidence	TreeHeight	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate	logP(mrca(auto_name_1))	mrca.age(auto_name_1)	clockRate	
0	-19439.278815782207	-19410.64510405692	-28.633711725288293	-19410.64510405692	7.999607277731042	0.7006059060227755	0.25702428612512535	0.2456123122849637	0.2533957510988532	0.24396765049105767	-27.839071776189705	0.2514374622717394	0.579862811989809	7.999607277731042	7877.663744436098	
1	-19433.302819814635	-19410.022760483756	-23.28005933087777	-19410.022760483756	7.999607277731042	0.7617117364122883	0.25702428612512535	0.2456123122849637	0.25262677828373686	0.24473662330617402	-22.472119951578378	0.7824027849153949	0.579862811989809	7.999607277731042	36432.25118573898	
2	-19445.985554966526	-19408.762509790104	-37.22304517642131	-19408.762509790104	7.999607277731042	1.7651863865240995	0.25702428612512535	0.24251452996525047	0.25218894445079704	0.24827223945882707	-36.03292077465349	0.3210968470020369	0.579862811989809	7.999607277731042	384840.7041048851	
3	-19445.985554966526	-19408.762509790104	-37.22304517642131	-19408.762509790104	7.999607277731042	1.7651863865240995	0.25702428612512535	0.24251452996525047	0.25218894445079704	0.24827223945882707	-36.03292077465349	0.3210968470020369	0.579862811989809	7.999607277731042	384840.7041048851	
4	-19445.985554966526	-19408.762509790104	-37.22304517642131	-19408.762509790104	7.999607277731042	1.7651863865240995	0.25702428612512535	0.24251452996525047	0.25218894445079704	0.24827223945882707	-36.03292077465349	0.3210968470020369	0.579862811989809	7.999607277731042	384840.7041048851	
5	-19445.985554966526	-19408.762509790104	-37.22304517642131	-19408.762509790104	7.999607277731042	1.7651863865240995	0.25702428612512535	0.24251452996525047	0.25218894445079704	0.24827223945882707	-36.03292077465349	0.3210968470020369	0.579862811989809	7.999607277731042	384840.7041048851	
6	-19434.238601108438	-19408.18187404524	-26.056727063199837	-19408.18187404524	7.999607277731042	0.39132870973425166	0.25702428612512535	0.24792450081741638	0.24677897359863113	0.24827223945882707	-25.230587858788972	0.48569475627888276	0.579862811989809	7.999607277731042	1.1124748461927366E7	
7	-19434.238601108438	-19408.18187404524	-26.056727063199837	-19408.18187404524	7.999607277731042	0.39132870973425166	0.25702428612512535	0.24792450081741638	0.24677897359863113	0.24827223945882707	-25.230587858788972	0.48569475627888276	0.579862811989809	7.999607277731042	1.1124748461927366E7	
