"","folder","tree","best_or_gen","nltt_1","nltt_2","nltt_3","nltt_4"
"1","data/0.2-0.15-1-0.1/1","true","gen",0.244733408605679,0.270430841731438,0.269365554361978,0.263840462347502
"2","data/0.2-0.15-1-0.1/1","true","best",0.244733408605679,0.309664316729255,0.312357057168019,0.310687549562098
"3","data/0.2-0.15-1-0.1/1","twin","gen",0.267230709022346,0.320682989529999,0.320851073281739,0.326595256211052
"4","data/0.2-0.15-1-0.1/1","twin","best",0.267230709022346,0.306654129714644,0.308534857255409,0.30774757393755
"5","data/0.2-0.15-1-0.1/2","true","gen",0.071951266205531,0.0944879192773758,0.0891314396776835,0.0849005130261207
"6","data/0.2-0.15-1-0.1/2","true","best",0.071951266205531,0.120819381993224,0.119835401623109,0.120686596978351
"7","data/0.2-0.15-1-0.1/2","twin","gen",0.169132031205531,0.199177194331007,0.192717848106272,0.192625610437075
"8","data/0.2-0.15-1-0.1/2","twin","best",0.169132031205531,0.196926415585158,0.195169881343558,0.196630769388699
