#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:mbd_twin_evidence" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:mbd_twin_evidence" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:mbd_twin_evidence" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.mbd_twin_evidence" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:mbd_twin_evidence" name="distribution" x="@birthRate.t:mbd_twin_evidence">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="kappa1Prior.s:mbd_twin_evidence" name="distribution">
#            <parameter id="kappa1.s:mbd_twin_evidence" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="kappa2Prior.s:mbd_twin_evidence" name="distribution">
#            <parameter id="kappa2.s:mbd_twin_evidence" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.3" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ClockPrior.c:mbd_twin_evidence" name="distribution">
#            <parameter id="clockRate.c:mbd_twin_evidence" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.150" name="distr" upper="Infinity"/>
#        </prior>
#        <distribution id="auto_name_1.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:mbd_twin_evidence">
#            <taxonset id="auto_name_1" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="t12" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t17" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t2" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t19" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t18" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t7" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t14" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t20" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t21" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.151" name="distr">
#                <parameter estimate="false" id="RealParameter.300" name="mean" spec="beast.core.parameter.RealParameter">8.0</parameter>
#                <parameter estimate="false" id="RealParameter.301" name="sigma" spec="beast.core.parameter.RealParameter">1.0E-4</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@mbd_twin_evidence" id="treeLikelihood.mbd_twin_evidence" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:mbd_twin_evidence">
#            <siteModel id="SiteModel.s:mbd_twin_evidence" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:mbd_twin_evidence" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:mbd_twin_evidence" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:mbd_twin_evidence" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="tn93.s:mbd_twin_evidence" kappa1="@kappa1.s:mbd_twin_evidence" kappa2="@kappa2.s:mbd_twin_evidence" spec="beast.evolution.substitutionmodel.TN93">
#                    <frequencies id="estimatedFreqs.s:mbd_twin_evidence" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:mbd_twin_evidence" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:mbd_twin_evidence" id="StrictClock.c:mbd_twin_evidence" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood.mbd_twin_evidence	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate	logP(mrca(auto_name_1))	mrca.age(auto_name_1)	clockRate
0	-12485.09259613261	-13662.365873650624	-12485.09259613261	-1177.2732775180134	-12485.09259613261	7.995184114697816	2.84622556221379	0.08964199099342259	0.26526147817730494	0.25	0.25	0.23473852182269503	-21.283005405648225	0.2659017440555387	-1151.3461603509388	7.995184114697816	12.780346958517908
1	-12484.896053909059	-13416.862542564208	-12484.896053909059	-931.9664886551483	-12484.896053909059	8.004280873342429	2.7862912019736887	0.3519372265453191	0.24808545699340018	0.25954499374975804	0.2585745064151449	0.23379504284169683	-20.361958073534716	0.4221925105295727	-908.0024268572346	8.004280873342429	14750.887269947909
2	-12479.139415363226	-12495.366477007472	-12479.139415363226	-16.22706164424559	-12479.139415363226	8.00022344829885	2.978471679104494	0.7170497182910994	0.24808545699340018	0.25077288709833023	0.26473384280747464	0.23640781310079492	-18.40809622376187	0.3134805001247077	5.794944725810819	8.00022344829885	16655.093763933786
3	-12478.24715995128	-12495.560926694929	-12478.24715995128	-17.3137667436487	-12478.24715995128	8.00022344829885	2.135273823031302	0.42796470204937376	0.25720739369548246	0.23684756747717417	0.26473384280747464	0.24121119601986868	-19.802339943821757	0.2674347784501691	5.794944725810819	8.00022344829885	400535.3955783831
4	-12477.24704404932	-12496.48150271448	-12477.24704404932	-19.234458665159163	-12477.24704404932	8.00022344829885	1.1667824876104884	0.42796470204937376	0.2529660549615947	0.23519416225309978	0.2689751815413624	0.24286460124394307	-22.117131457324362	0.32594758317693306	5.794944725810819	8.00022344829885	1.0480659448845314E7
5	-12477.24704404932	-12496.48150271448	-12477.24704404932	-19.234458665159163	-12477.24704404932	8.00022344829885	1.1667824876104884	0.42796470204937376	0.2529660549615947	0.23519416225309978	0.2689751815413624	0.24286460124394307	-22.117131457324362	0.32594758317693306	5.794944725810819	8.00022344829885	1.0480659448845314E7
6	-12473.137879378297	-12492.390947937258	-12473.137879378297	-19.253068558961093	-12473.137879378297	8.00022344829885	0.17653085874166763	0.8534081984152315	0.24749010788685552	0.23766223803825823	0.26330552169730487	0.2515421323775813	-21.83475790423232	0.4206916245725363	5.794944725810819	8.00022344829885	1.4963732121751149E9
7	-12473.137879378297	-12492.390947937258	-12473.137879378297	-19.253068558961093	-12473.137879378297	8.00022344829885	0.17653085874166763	0.8534081984152315	0.24749010788685552	0.23766223803825823	0.26330552169730487	0.2515421323775813	-21.83475790423232	0.4206916245725363	5.794944725810819	8.00022344829885	1.4963732121751149E9
8	-12472.844898212777	-12490.485808664376	-12472.844898212777	-17.640910451599094	-12472.844898212777	8.00022344829885	0.12054423374375409	1.0763274068543804	0.24716512605805274	0.2392834004620354	0.2604849000268676	0.2530665734530442	-19.812714067108292	0.15954646574689557	5.794944725810819	8.00022344829885	8.498516515521257E8
9	-12472.657507167964	-12488.496144911018	-12472.657507167964	-15.83863774305485	-12472.657507167964	8.00022344829885	0.12054423374375409	1.2937107229013456	0.24567117003390013	0.240777356486188	0.2604849000268676	0.2530665734530442	-17.924726671518616	0.4002103366103631	5.794944725810819	8.00022344829885	5.65890878476064E9
10	-12472.657507167964	-12488.496144911018	-12472.657507167964	-15.83863774305485	-12472.657507167964	8.00022344829885	0.12054423374375409	1.2937107229013456	0.24567117003390013	0.240777356486188	0.2604849000268676	0.2530665734530442	-17.924726671518616	0.4002103366103631	5.794944725810819	8.00022344829885	5.65890878476064E9
11	-12472.652575714876	-12491.177260197657	-12472.652575714876	-18.524684482781485	-12472.652575714876	8.00022344829885	0.12054423374375409	1.2937107229013456	0.24567117003390013	0.240777356486188	0.2619739184956499	0.2515775549842619	-20.61077341124525	0.1619270484518283	5.794944725810819	8.00022344829885	8.939074097128109E9
12	-12472.63397753233	-12489.990023745262	-12472.63397753233	-17.356046212930917	-12472.63397753233	8.00022344829885	0.12054423374375409	1.1719538993698404	0.24518369921781963	0.240777356486188	0.2619739184956499	0.2520650258003424	-19.49088215206207	0.3408154978522564	5.794944725810819	8.00022344829885	5.069525180983767E9
13	-12472.633977532329	-12489.712063049481	-12472.633977532329	-17.078085517152516	-12472.633977532329	8.00022344829885	0.28061073657572516	2.2651187728732376	0.24518369921781963	0.240777356486188	0.2619739184956499	0.2520650258003424	-19.381311245910766	0.38895477815656926	5.794944725810819	8.00022344829885	1.7153455184735424E10
14	-12472.633977532329	-12489.712063049481	-12472.633977532329	-17.078085517152516	-12472.633977532329	8.00022344829885	0.28061073657572516	2.2651187728732376	0.24518369921781963	0.240777356486188	0.2619739184956499	0.2520650258003424	-19.381311245910766	0.38895477815656926	5.794944725810819	8.00022344829885	1.7153455184735424E10
15	-12472.633977532329	-12489.712063049481	-12472.633977532329	-17.078085517152516	-12472.633977532329	8.00022344829885	0.28061073657572516	2.2651187728732376	0.24518369921781963	0.240777356486188	0.2619739184956499	0.2520650258003424	-19.381311245910766	0.38895477815656926	5.794944725810819	8.00022344829885	1.7153455184735424E10
