#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:mbd_twin_evidence" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:mbd_twin_evidence" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:mbd_twin_evidence" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:mbd_twin_evidence" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.mbd_twin_evidence" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:mbd_twin_evidence" name="distribution" x="@BDBirthRate.t:mbd_twin_evidence">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:mbd_twin_evidence" name="distribution" x="@BDDeathRate.t:mbd_twin_evidence">
#            <Uniform id="Uniform.101" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ClockPrior.c:mbd_twin_evidence" name="distribution">
#            <parameter id="clockRate.c:mbd_twin_evidence" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.150" name="distr" upper="Infinity"/>
#        </prior>
#        <distribution id="auto_name_1.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:mbd_twin_evidence">
#            <taxonset id="auto_name_1" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="t12" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t17" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t2" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t19" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t18" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t7" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t14" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t20" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t21" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.151" name="distr">
#                <parameter estimate="false" id="RealParameter.300" name="mean" spec="beast.core.parameter.RealParameter">8.0</parameter>
#                <parameter estimate="false" id="RealParameter.301" name="sigma" spec="beast.core.parameter.RealParameter">1.0E-4</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@mbd_twin_evidence" id="treeLikelihood.mbd_twin_evidence" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:mbd_twin_evidence">
#            <siteModel id="SiteModel.s:mbd_twin_evidence" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:mbd_twin_evidence" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:mbd_twin_evidence" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:mbd_twin_evidence" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:mbd_twin_evidence" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:mbd_twin_evidence" id="StrictClock.c:mbd_twin_evidence" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood.mbd_twin_evidence	TreeHeight	BirthDeath	BDBirthRate	BDDeathRate	logP(mrca(auto_name_1))	mrca.age(auto_name_1)	clockRate
0	-12476.549934730618	-12511.348952494316	-12476.549934730618	-34.79901776369833	-12476.549934730618	7.999301146126308	-18.670582763780818	0.4045389837434659	0.35299751549748387	-16.128434999917513	7.999301146126308	8.812194057020472
1	-12476.373281541788	-12499.398725786737	-12476.373281541788	-23.02544424494871	-12476.373281541788	7.999301146126308	-6.897009245031194	0.28330851568612814	0.9646444780880182	-16.128434999917513	7.999301146126308	1055.3422990576785
2	-12476.358161535109	-12507.416769665155	-12476.358161535109	-31.0586081300454	-12476.358161535109	7.999301146126308	-14.930173130127887	0.05106123230841912	0.9374241132531882	-16.128434999917513	7.999301146126308	50.90354430778838
3	-12464.22635339548	-12476.03353149089	-12464.22635339548	-11.807178095410045	-12464.22635339548	8.000134989805597	-19.187467553430153	0.07388479372285663	0.7822569568308244	7.380289458020108	8.000134989805597	197.77583423370743
4	-12458.988118277703	-12471.178261368652	-12458.988118277703	-12.190143090949135	-12458.988118277703	8.000134989805597	-19.570432548969244	0.32310580829061747	0.25413530170925946	7.380289458020108	8.000134989805597	1243.4882006034263
5	-12337.783583933946	-12348.742405228983	-12337.783583933946	-10.95882129503729	-12337.783583933946	8.000134989805597	-18.339110753057398	0.24400487184196762	0.1229278015157217	7.380289458020108	8.000134989805597	1920.8693868218534
6	-12236.906617203156	-12244.555431369809	-12236.906617203156	-7.6488141666523255	-12236.906617203156	8.000134989805597	-15.029103624672434	0.43521080420455127	0.6669879162975385	7.380289458020108	8.000134989805597	1284.0948408288234
7	-12040.755030093678	-12057.688510865115	-12040.755030093678	-16.93348077143716	-12040.755030093678	8.000134989805597	-24.31377022945727	0.27144245620115665	0.48533118458413993	7.380289458020108	8.000134989805597	461.1662400343958
8	-11885.993742238736	-11893.977616209795	-11885.993742238736	-7.983873971060014	-11885.993742238736	8.000134989805597	-15.364163429080122	0.10617563502331934	0.8187230326358442	7.380289458020108	8.000134989805597	236.34387484783238
9	-11764.913390443366	-11781.58847444766	-11764.913390443366	-16.67508400429517	-11764.913390443366	8.000134989805597	-24.055373462315277	0.43394869677323	0.4918440826076882	7.380289458020108	8.000134989805597	285.0028976007215
10	-11763.592974906482	-11776.909971418529	-11763.592974906482	-13.316996512047634	-11763.592974906482	8.000134989805597	-20.697285970067743	0.14809056714331562	0.16434516880052324	7.380289458020108	8.000134989805597	153.60155470861764
11	-11756.888396490924	-11765.248967785126	-11756.888396490924	-8.360571294201938	-11756.888396490924	8.000134989805597	-15.740860752222046	0.19834453528920126	0.6010371972895644	7.380289458020108	8.000134989805597	199.90419911231336
12	-11596.841873403582	-11603.805723170217	-11596.841873403582	-6.963849766635132	-11596.841873403582	8.000134989805597	-14.34413922465524	0.1306306976792744	0.84821487949475	7.380289458020108	8.000134989805597	83.89092790660393
13	-11432.631090267601	-11438.778188643704	-11432.631090267601	-6.147098376102694	-11432.631090267601	8.000134989805597	-13.527387834122802	0.1437594015764821	0.9219254015309617	7.380289458020108	8.000134989805597	17.44715943100594
14	-11410.555592649007	-11418.685553005575	-11410.555592649007	-8.12996035656737	-11410.555592649007	8.000134989805597	-15.510249814587478	0.27298091345932635	0.9611968402401447	7.380289458020108	8.000134989805597	16.009215591719265
15	-11289.727398258396	-11300.897890955015	-11289.727398258396	-11.17049269661916	-11289.727398258396	8.000134989805597	-18.55078215463927	0.2509882396706465	0.3067823146668689	7.380289458020108	8.000134989805597	1.96324261387916
16	-11217.959973332941	-11229.40394351565	-11217.959973332941	-11.443970182709538	-11217.959973332941	8.000134989805597	-18.824259640729647	0.42657243130198325	0.1755173514865194	7.380289458020108	8.000134989805597	1.3950250397032236
17	-11202.962315932702	-11206.230657453027	-11202.962315932702	-3.268341520324519	-11202.962315932702	8.000134989805597	-10.648630978344627	0.49252735979954715	0.5870484434048354	7.380289458020108	8.000134989805597	10.035450975730745
